epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.4898,1.20099,2.52163,3.14169,1.10257,0.00381,0.55215,0.11363,0.0659,0.00392,0.57419,0.11394,0.07547,1.25317,2.2486,3.32865,1.05181,0.00021671,0.00021671,0.00021671
2,62.2208,1.20243,2.29865,2.10501,1.0321,0.73644,0.13441,0.15476,0.08583,0.72531,0.12903,0.14908,0.09535,1.33275,2.36943,2.93887,1.10197,0.000445634,0.000445634,0.000445634
3,88.162,1.27567,2.27014,1.74955,1.06942,0.32047,0.21935,0.15163,0.10531,0.32047,0.21935,0.15467,0.10688,1.22722,2.37618,2.78976,1.10228,0.000669937,0.000669937,0.000669937
4,113.161,1.27294,2.47467,1.68411,1.13757,0.27215,0.16398,0.14081,0.10003,0.27132,0.16398,0.14335,0.10471,1.29377,2.34661,2.74303,1.15293,0.00088962,0.00088962,0.00088962
5,142.481,1.26495,2.28347,1.76041,1.16192,0.26862,0.15111,0.11706,0.08264,0.40436,0.13953,0.11385,0.0812,1.27966,2.44888,2.85343,1.17863,0.00110468,0.00110468,0.00110468
6,170.089,1.20262,2.14874,1.55587,1.09899,0.27324,0.20753,0.1508,0.10106,0.27324,0.20753,0.14566,0.09492,1.29795,2.64543,3.32186,1.19697,0.00131512,0.00131512,0.00131512
7,195.202,1.19827,2.21399,1.57177,1.11272,0.35025,0.1914,0.1722,0.11528,0.23863,0.25161,0.16992,0.11416,1.27708,2.69042,3.09176,1.19252,0.00152094,0.00152094,0.00152094
8,221.367,1.23615,2.29988,1.5321,1.11656,0.3385,0.2129,0.16184,0.11075,0.34428,0.21828,0.16443,0.10284,1.27874,2.8491,3.09854,1.18449,0.00155148,0.00155148,0.00155148
9,246.371,1.25938,2.33692,1.49265,1.09089,0.3049,0.41667,0.24564,0.16282,0.31002,0.42204,0.24739,0.15126,1.38428,2.75536,2.60816,1.2615,0.00153497,0.00153497,0.00153497
10,270.356,1.21608,2.42652,1.45925,1.125,0.40713,0.37017,0.29284,0.20388,0.40713,0.37017,0.29413,0.19156,1.31488,2.63226,2.97535,1.2282,0.00151847,0.00151847,0.00151847
11,293.216,1.21532,2.20697,1.49679,1.10635,0.35552,0.39409,0.25292,0.17158,0.35982,0.39946,0.2493,0.16135,1.35271,2.47488,3.50372,1.24695,0.00150197,0.00150197,0.00150197
12,316.89,1.23353,2.25322,1.47525,1.10801,0.32819,0.35629,0.24623,0.16618,0.33099,0.36167,0.24389,0.1401,1.42183,2.5723,3.57148,1.25273,0.00148546,0.00148546,0.00148546
13,341.348,1.2104,2.25443,1.48229,1.14394,0.31727,0.46075,0.28563,0.19856,0.3212,0.46613,0.28082,0.17789,1.36233,2.49613,2.99552,1.28996,0.00146896,0.00146896,0.00146896
14,362.616,1.20569,2.2362,1.42751,1.09229,0.31033,0.33602,0.28945,0.19815,0.38971,0.31935,0.29439,0.18215,1.40309,2.76963,3.55594,1.30708,0.00145246,0.00145246,0.00145246
15,386.962,1.19339,2.19555,1.34806,1.08271,0.38067,0.32689,0.2933,0.19806,0.39125,0.33444,0.29113,0.17787,1.40062,2.81331,3.59867,1.30821,0.00143595,0.00143595,0.00143595
16,411.316,1.2251,2.29158,1.38382,1.11228,0.26982,0.29032,0.19215,0.12718,0.26001,0.2832,0.18623,0.12427,1.39625,2.53507,4.62172,1.32531,0.00141945,0.00141945,0.00141945
17,431.166,1.14967,2.08634,1.22807,1.04456,0.30621,0.38387,0.23884,0.16333,0.31231,0.38925,0.24178,0.15087,1.33954,2.48755,3.95799,1.28199,0.00140295,0.00140295,0.00140295
18,456.09,1.20828,2.17914,1.29277,1.09074,0.33574,0.3977,0.23678,0.1533,0.33574,0.3977,0.24142,0.14509,1.34836,2.41098,3.4273,1.26899,0.00138644,0.00138644,0.00138644
19,478.195,1.17425,2.12319,1.26458,1.05503,0.3373,0.4,0.21976,0.14539,0.3429,0.40538,0.22156,0.13379,1.32725,2.37152,3.12686,1.24828,0.00136994,0.00136994,0.00136994
20,502.548,1.18531,2.04396,1.31391,1.10148,0.29185,0.46613,0.28851,0.19446,0.29086,0.4678,0.28671,0.18588,1.28208,2.31368,2.82925,1.20311,0.00135344,0.00135344,0.00135344
21,527.933,1.12058,2.10711,1.16571,1.04636,0.34934,0.3708,0.27354,0.18498,0.34266,0.35083,0.26632,0.16024,1.34836,2.64411,3.05635,1.2365,0.00133693,0.00133693,0.00133693
22,554.495,1.11457,2.11347,1.18321,1.05012,0.32695,0.42204,0.27462,0.1829,0.32695,0.42204,0.26653,0.14234,1.33605,2.87496,3.27515,1.23553,0.00132043,0.00132043,0.00132043
